chr start   end name    itemRgb   
2L	1	500000	acc1	"#353535"
2L	500001	1000000	acc2	"#353535"
2L	1000001	1500000	acc3	"#494949"
2L	1500001	2000000	acc4	"#454545"
2L	2000001	2500000	acc5	"#474747"
2L	2500001	3000000	acc6	"#5f5f5f"
2L	3000001	3500000	acc7	"#656565"
2L	3500001	4000000	acc8	"#5a5a5a"
2L	4000001	4500000	acc9	"#7c7c7c"
2L	4500001	5000000	acc10	"#b6b6b6"
2L	5000001	5500000	acc11	"#c4c4c4"
2L	5500001	6000000	acc12	"#ababab"
2L	6000001	6500000	acc13	"#c2c2c2"
2L	6500001	7000000	acc14	"#262626"
2L	7000001	7500000	acc15	"#4f4f4f"
2L	7500001	8000000	acc16	"#b5b5b5"
2L	8000001	8500000	acc17	"#bdbdbd"
2L	8500001	9000000	acc18	"#d1d1d1"
2L	9000001	9500000	acc19	"#ababab"
2L	9500001	10000000	acc20	"#dfdfdf"
2L	10000001	10500000	acc21	"#b7b7b7"
2L	10500001	11000000	acc22	"#b0b0b0"
2L	11000001	11500000	acc23	"#cdcdcd"
2L	11500001	12000000	acc24	"#262626"
2L	12000001	12500000	acc25	"#272727"
2L	12500001	13000000	acc26	"#262626"
2L	13000001	13500000	acc27	"#c8c8c8"
2L	13500001	14000000	acc28	"#d3d3d3"
2L	14000001	14500000	acc29	"#c8c8c8"
2L	14500001	15000000	acc30	"#c5c5c5"
2L	15000001	15500000	acc31	"#d9d9d9"
2L	15500001	16000000	acc32	"#c9c9c9"
2L	16000001	16500000	acc33	"#cacaca"
2L	16500001	17000000	acc34	"#c5c5c5"
2L	17000001	17500000	acc35	"#c0c0c0"
2L	17500001	18000000	acc36	"#c7c7c7"
2L	18000001	18500000	acc37	"#c8c8c8"
2L	18500001	19000000	acc38	"#c6c6c6"
2L	19000001	19500000	acc39	"#dfdfdf"
2L	19500001	20000000	acc40	"#c2c2c2"
2L	20000001	20500000	acc41	"#bdbdbd"
2L	20500001	21000000	acc42	"#cfcfcf"
2L	21000001	21500000	acc43	"#cecece"
2L	21500001	22000000	acc44	"#bdbdbd"
2L	22000001	22500000	acc45	"#acacac"
2L	22500001	23000000	acc46	"#afafaf"
2L	23000001	23500000	acc47	"#c7c7c7"
2L	23500001	24000000	acc48	"#c2c2c2"
2L	24000001	24500000	acc49	"#acacac"
2L	24500001	25000000	acc50	"#717171"
2L	25000001	25500000	acc51	"#7f7f7f"
2L	25500001	26000000	acc52	"#919191"
2L	26000001	26500000	acc53	"#9c9c9c"
2L	26500001	27000000	acc54	"#8f8f8f"
2L	27000001	27500000	acc55	"#909090"
2L	27500001	28000000	acc56	"#949494"
2L	28000001	28500000	acc57	"#a6a6a6"
2L	28500001	29000000	acc58	"#868686"
2L	29000001	29500000	acc59	"#838383"
2L	29500001	30000000	acc60	"#888888"
2L	30000001	30500000	acc61	"#8c8c8c"
2L	30500001	31000000	acc62	"#a8a8a8"
2L	31000001	31500000	acc63	"#939393"
2L	31500001	32000000	acc64	"#b5b5b5"
2L	32000001	32500000	acc65	"#adadad"
2L	32500001	33000000	acc66	"#a3a3a3"
2L	33000001	33500000	acc67	"#949494"
2L	33500001	34000000	acc68	"#969696"
